1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
32770,Brothers (Brødre) (2004),Drama
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
180231,Daddy's Home 2 (2017),Comedy|Drama
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
12,Dracula: Dead and Loving It (1995),Comedy|Horror
13,Balto (1995),Adventure|Animation|Children
14,Nixon (1995),Drama
15,Cutthroat Island (1995),Action|Adventure|Romance
16,Casino (1995),Crime|Drama
17,Sense and Sensibility (1995),Drama|Romance
18,Four Rooms (1995),Comedy
114707,Horns (2014),Horror|Mystery
19,Ace Ventura: When Nature Calls (1995),Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,Assassins (1995),Action|Crime|Thriller
24,Powder (1995),Drama|Sci-Fi
114713,Annabelle (2014),Horror
131098,Saving Santa (2013),Animation|Children|Comedy
25,Leaving Las Vegas (1995),Drama|Romance
26,Othello (1995),Drama
27,Now and Then (1995),Children|Drama
28,Persuasion (1995),Drama|Romance
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
31,Dangerous Minds (1995),Drama
32799,Maidens in Uniform (Mädchen in Uniform) (1931),Drama|Romance
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
34,Babe (1995),Children|Drama
131104,The Brain (1969),Comedy|Crime
36,Dead Man Walking (1995),Crime|Drama
180263,The Shining (1997),Drama|Horror|Thriller
38,It Takes Two (1995),Children|Comedy
39,Clueless (1995),Comedy|Romance
41,Richard III (1995),Drama|War
42,Dead Presidents (1995),Action|Crime|Drama
43,Restoration (1995),Drama
180265,Jim & Andy: The Great Beyond (2017),Documentary
44,Mortal Kombat (1995),Action|Adventure|Fantasy
45,To Die For (1995),Comedy|Drama|Thriller
46,How to Make an American Quilt (1995),Drama|Romance
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
65585,Bride Wars (2009),Comedy|Romance
49,When Night Is Falling (1995),Drama|Romance
52,Mighty Aphrodite (1995),Comedy|Drama|Romance
53,Lamerica (1994),Adventure|Drama
55,Georgia (1995),Drama
98361,Byzantium (2012),Drama|Fantasy|Thriller
131130,Tom and Jerry: A Nutcracker Tale (2007),Animation|Comedy
57,Home for the Holidays (1995),Drama
61,Eye for an Eye (1996),Drama|Thriller
65596,Mesrine: Killer Instinct (L'instinct de mort) (2008),Action|Crime|Drama|Thriller
62,Mr. Holland's Opus (1995),Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
64,Two if by Sea (1996),Comedy|Romance
65601,My Bloody Valentine 3-D (2009),Horror|Thriller
65,Bio-Dome (1996),Comedy
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
68,French Twist (Gazon maudit) (1995),Comedy|Romance
49220,For Your Consideration (2006),Comedy
69,Friday (1995),Comedy
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
71,Fair Game (1995),Action
72,Kicking and Screaming (1995),Comedy|Drama
74,Bed of Roses (1996),Drama|Romance
75,Big Bully (1996),Comedy|Drama
114762,Two Night Stand (2014),Comedy|Romance
180297,The Disaster Artist (2017),Comedy|Drama
76,Screamers (1995),Action|Sci-Fi|Thriller
77,Nico Icon (1995),Documentary
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
82,Antonia's Line (Antonia) (1995),Comedy|Drama
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance
85,Angels and Insects (1995),Drama|Romance
86,White Squall (1996),Action|Adventure|Drama
87,Dunston Checks In (1996),Children|Comedy
88,Black Sheep (1996),Comedy
89,Nick of Time (1995),Action|Thriller
92,Mary Reilly (1996),Drama|Horror|Thriller
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance
94,Beautiful Girls (1996),Comedy|Drama|Romance
32862,With Six You Get Eggroll (1968),Comedy|Romance
65631,Battle in Seattle (2007),Action|Drama
95,Broken Arrow (1996),Action|Adventure|Thriller
96,In the Bleak Midwinter (1995),Comedy|Drama
99,Heidi Fleiss: Hollywood Madam (1995),Documentary
163937,Blair Witch (2016),Horror|Thriller
100,City Hall (1996),Drama|Thriller
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
102,Mr. Wrong (1996),Comedy
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller
104,Happy Gilmore (1996),Comedy
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
114795,Dracula Untold (2014),Action|Drama|Fantasy
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
32875,Holiday (Jour de fête) (1949),Comedy
108,Catwalk (1996),Documentary
110,Braveheart (1995),Action|Drama|War
111,Taxi Driver (1976),Crime|Drama|Thriller
49263,Fuck (2005),Comedy|Documentary
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
113,Before and After (1996),Drama|Mystery
49265,Shooting Dogs (a.k.a. Beyond the Gates) (2005),Documentary|Drama|War
65651,Fire and Ice (2008),Adventure|Fantasy
116,Anne Frank Remembered (1995),Documentary
118,If Lucy Fell (1996),Comedy|Romance
49272,Casino Royale (2006),Action|Adventure|Thriller
122,Boomerang (1992),Comedy|Romance
49274,Happy Feet (2006),Adventure|Animation|Children|Comedy|IMAX
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
32892,Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo) (1962),Drama|War
49276,Let's Go to Prison (2006),Comedy
125,Flirting With Disaster (1996),Comedy
49278,Déjà Vu (Deja Vu) (2006),Action|Sci-Fi|Thriller
128,Jupiter's Wife (1994),Documentary
49280,Bobby (2006),Drama
129,Pie in the Sky (1996),Comedy|Romance
114818,Stretch (2014),Action|Comedy|Crime
132,Jade (1995),Thriller
49284,10 Items or Less (2006),Comedy|Drama|Romance
82053,Casino Jack (2010),Comedy|Crime
135,Down Periscope (1996),Comedy
137,Man of the Year (1995),Documentary
140,Up Close and Personal (1996),Drama|Romance
163981,31 (2016),Horror
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
32914,Carrie (2002),Drama|Horror|Thriller
65682,Underworld: Rise of the Lycans (2009),Action|Fantasy|Horror|Thriller
163985,ARQ (2016),Sci-Fi|Thriller
65685,Inkheart (2008),Adventure|Fantasy
149,Amateur (1994),Crime|Drama|Thriller
32917,Boccaccio '70 (1962),Comedy|Fantasy|Romance
150,Apollo 13 (1995),Adventure|Drama|IMAX
151,Rob Roy (1995),Action|Drama|Romance|War
153,Batman Forever (1995),Action|Adventure|Comedy|Crime
154,Beauty of the Day (Belle de jour) (1967),Drama
155,Beyond Rangoon (1995),Adventure|Drama|War
156,Blue in the Face (1995),Comedy|Drama
157,Canadian Bacon (1995),Comedy|War
158,Casper (1995),Adventure|Children
114847,Autómata (Automata) (2014),Sci-Fi|Thriller
159,Clockers (1995),Crime|Drama|Mystery
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
161,Crimson Tide (1995),Drama|Thriller|War
162,Crumb (1994),Documentary
49314,Harsh Times (2006),Action|Crime|Drama
163,Desperado (1995),Action|Romance|Western
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
131237,What Men Talk About (2010),Comedy
168,First Knight (1995),Action|Drama|Romance
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
82088,Vincent Wants to Sea (Vincent will meer) (2010),Drama
170,Hackers (1995),Action|Adventure|Crime|Thriller
171,Jeffrey (1995),Comedy|Drama
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
82093,London Boulevard (2010),Crime|Romance
173,Judge Dredd (1995),Action|Crime|Sci-Fi
174,Jury Duty (1995),Comedy
82095,Skyline (2010),Sci-Fi|Thriller
175,Kids (1995),Drama
176,Living in Oblivion (1995),Comedy
177,Lord of Illusions (1995),Horror
178,Love & Human Remains (1993),Comedy|Drama
179,Mad Love (1995),Drama|Romance
180,Mallrats (1995),Comedy|Romance
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
183,Mute Witness (1994),Comedy|Horror|Thriller
184,Nadja (1994),Drama
186,Nine Months (1995),Comedy|Romance
98491,Paperman (2012),Animation|Comedy|Romance
187,Party Girl (1995),Comedy
189,Reckless (1995),Comedy|Fantasy
190,Safe (1995),Thriller
193,Showgirls (1995),Drama
194,Smoke (1995),Comedy|Drama
195,Something to Talk About (1995),Comedy|Drama|Romance
49347,Fast Food Nation (2006),Drama
196,Species (1995),Horror|Sci-Fi
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
98503,Half a Loaf of Kung Fu (Dian zhi gong fu gan chian chan) (1980),Action|Comedy
201,Three Wishes (1995),Drama|Fantasy
202,Total Eclipse (1995),Drama|Romance
65738,Revenge of the Nerds III: The Next Generation (1992),Comedy
147657,Masked Avengers (1981),Action
204,Under Siege 2: Dark Territory (1995),Action
147662,Return of the One-Armed Swordsman (1969),Action|Adventure
205,Unstrung Heroes (1995),Comedy|Drama
65740,Revenge of the Nerds IV: Nerds in Love (1994),Comedy|Romance
206,Unzipped (1995),Documentary
208,Waterworld (1995),Action|Adventure|Sci-Fi
209,White Man's Burden (1995),Drama
210,Wild Bill (1995),Western
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
214,Before the Rain (Pred dozhdot) (1994),Drama|War
215,Before Sunrise (1995),Drama|Romance
216,Billy Madison (1995),Comedy
218,Boys on the Side (1995),Comedy|Drama
220,Castle Freak (1995),Horror
222,Circle of Friends (1995),Drama|Romance
223,Clerks (1994),Comedy
224,Don Juan DeMarco (1995),Comedy|Drama|Romance
225,Disclosure (1994),Drama|Thriller
227,Drop Zone (1994),Action|Thriller
228,Destiny Turns on the Radio (1995),Comedy
229,Death and the Maiden (1994),Drama|Thriller
230,Dolores Claiborne (1995),Drama|Thriller
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
233,Exotica (1994),Drama
82152,Beastly (2011),Drama|Fantasy|Romance
234,Exit to Eden (1994),Comedy
235,Ed Wood (1994),Comedy|Drama
236,French Kiss (1995),Action|Comedy|Romance
237,Forget Paris (1995),Comedy|Romance
49389,The Great Train Robbery (1903),Crime|Western
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
240,Hideaway (1995),Thriller
241,Fluke (1995),Children|Drama
242,Farinelli: il castrato (1994),Drama|Musical
243,Gordy (1995),Children|Comedy|Fantasy
49396,Tenacious D in The Pick of Destiny (2006),Adventure|Comedy|Musical
246,Hoop Dreams (1994),Documentary
82167,Love and Other Drugs (2010),Comedy|Drama|Romance
114935,Predestination (2014),Action|Mystery|Sci-Fi|Thriller
247,Heavenly Creatures (1994),Crime|Drama
248,Houseguest (1994),Comedy
249,Immortal Beloved (1994),Drama|Romance
250,Heavyweights (Heavy Weights) (1995),Children|Comedy
252,I.Q. (1994),Comedy|Romance
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
254,Jefferson in Paris (1995),Drama
256,Junior (1994),Comedy|Sci-Fi
257,Just Cause (1995),Mystery|Thriller
259,Kiss of Death (1995),Crime|Drama|Thriller
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
261,Little Women (1994),Drama
263,Ladybird Ladybird (1994),Drama
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
266,Legends of the Fall (1994),Drama|Romance|War|Western
267,Major Payne (1995),Comedy
65802,Paul Blart: Mall Cop (2009),Action|Comedy|Crime
269,My Crazy Life (Mi vida loca) (1993),Drama
270,Love Affair (1994),Drama|Romance
271,Losing Isaiah (1995),Drama
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
274,Man of the House (1995),Comedy
275,Mixed Nuts (1994),Comedy
65810,Notorious (2009),Drama|Musical
180497,The Post (2017),Drama|Thriller
276,Milk Money (1994),Comedy|Romance
277,Miracle on 34th Street (1994),Drama
278,Miami Rhapsody (1995),Comedy
279,My Family (1995),Drama
280,Murder in the First (1995),Drama|Thriller
98585,Hitchcock (2012),Drama
281,Nobody's Fool (1994),Comedy|Drama|Romance
282,Nell (1994),Drama
283,New Jersey Drive (1995),Crime|Drama
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime
285,Beyond Bedlam (1993),Drama|Horror
287,Nina Takes a Lover (1994),Comedy|Romance
288,Natural Born Killers (1994),Action|Crime|Thriller
289,Only You (1994),Comedy|Romance
290,Once Were Warriors (1994),Crime|Drama
291,Poison Ivy II (1996),Drama|Thriller
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
298,Pushing Hands (Tui shou) (1992),Drama
299,Priest (1994),Drama
300,Quiz Show (1994),Drama
301,Picture Bride (Bijo photo) (1994),Drama|Romance
98604,From Up on Poppy Hill (Kokuriko-zaka kara) (2011),Animation|Drama|Romance
98607,Redline (2009),Action|Animation|Sci-Fi
